제목,요약,언론사,날짜,링크
"""D-1""…상·하방으로 최대 10% 변동성 '경고'",엔비디아의 실적 발표가 하루 앞으로 다가온 가운데 월가에서도 주가 변동성을 둘러싼 경고음이 커지고 있다. 25일(현지시간) CNBC는 .. 한국경제TV | 2025-02-26 10:07:47,한국경제TV,2025-02-26 10:07:47,https://n.news.naver.com/mnews/article/215/0001199887
"올해만 27% 올랐다…""2차전지와 반도체 부활 신호탄""",삼성액티브자산운용의 'KoAct 테크핵심소재공급망액티브 ETF'가 차세대 2차전지 및 반도체 소재 시장의 성장 가능성에 힘입어 올해 들.. 한국경제TV | 2025-02-26 10:05:05,한국경제TV,2025-02-26 10:05:05,https://n.news.naver.com/mnews/article/215/0001199886
"현대건설, '교량 붕괴 사고' 하루 만에 주가 반등 [핫종목]",박현영 현대건설(000720) 주가가 서울세종고속도로 천안-안성구간 교량 붕괴 사고가 일어난 지 하루 만에 반등했다. 26일 오전 9시.. 뉴스1 | 2025-02-26 10:03:25,뉴스1,2025-02-26 10:03:25,https://n.news.naver.com/mnews/article/421/0008098391
"金 투자하면서 월배당… 신한운용, 금 커버드콜 ETF 내놓는다","신한운용, 다음달 ‘SOL 골드커버드콜액티브’ 상장 국제 금 현물 추종… 연 4% 분배금 지급 목표 신한자산운용이 업계 최초로 금 투자.. 조선비즈 | 2025-02-26 10:01:10",조선비즈,2025-02-26 10:01:10,https://n.news.naver.com/mnews/article/366/0001056781
"업비트 제재에 놀란 투자자들…뚜껑 열어보니 “정상 영업중""",국내 1위 가상자산 거래소 업비트가 금융위원회 산하 금융정보분석원(FIU)으로부터 제재를 받는다. 제재 내용에는 영업 일부정지 3개월이.. 아시아경제 | 2025-02-26 09:56:29,아시아경제,2025-02-26 09:56:29,https://n.news.naver.com/mnews/article/277/0005552176
美증시 휘청하자… 서학개미 ‘집단지성’ ETF 손실 구간 진입,서학개미(미국 주식 개인 투자자)가 많이 투자한 미국 주식을 담은 상장지수펀드(ETF)가 잇달아 손실 구간에 진입했다. 도널드 트럼프 .. 조선비즈 | 2025-02-26 09:55:13,조선비즈,2025-02-26 09:55:13,https://n.news.naver.com/mnews/article/366/0001056779
‘해킹 여파’ 20% 하락한 4대 코인…“대량 매도 움직임 없어…단기 영향” [투자360],비트코인·이더리움·리플·솔라나 하락률 -19.94% 과거 DMM·폴리네트워크 해킹 대비 큰 변동성 공포탐욕지수 21…6개월만에 ‘극심한.. 헤럴드경제 | 2025-02-26 09:55:11,헤럴드경제,2025-02-26 09:55:11,https://n.news.naver.com/mnews/article/016/0002434274
"""엇갈리는 SK하이닉스…'HBM 소외' 삼전부터 챙겨""",고대역폭메모리(HBM) 훈풍 관련 수혜를 삼성전자가 제대로 받지 못했단 의견이 나왔다. 26일 한국경제TV에서 나민호 야천투자연구소 소.. 한국경제TV | 2025-02-26 09:55:07,한국경제TV,2025-02-26 09:55:07,https://n.news.naver.com/mnews/article/215/0001199883
일론 머스크 때문에?…테슬라 시총 1兆달러 또 깨졌다,테슬라 시가총액이 유럽에서의 판매량 급감 소식에 1조 달러(약 1432조 원) 아래로 주저앉았다. 주요 외신은 유럽 현지에서 일론 머스.. 서울경제 | 2025-02-26 09:46:11,서울경제,2025-02-26 09:46:11,https://n.news.naver.com/mnews/article/011/0004454898
"[속보] 코스피, 대기 모드…버블붕괴 vs 추가랠리 '분수령'",코스피가 보합권에서 등락중이다. 우리시간으로 27일 새벽에 나올 엔비디아 실적 발표를 대기하며 관망세다. 실적 결과 보다는 향후 실적 .. 한국경제TV | 2025-02-26 09:44:16,한국경제TV,2025-02-26 09:44:16,https://n.news.naver.com/mnews/article/215/0001199872
"우성금속, 글로벌 기업 수주 급증에 OP 10배↑…성안 품고 희토류 메탈바 시장 공략",오랜 기간 축적한 기술력과 신뢰를 바탕으로 희토류 제련 분야에서 독보적인 경쟁력을 확보해 고품질 희토류 제품을 생산할 계획입니다. 이를.. 파이낸셜뉴스 | 2025-02-26 09:41:14,파이낸셜뉴스,2025-02-26 09:41:14,https://n.news.naver.com/mnews/article/014/0005313527
'삼성전자 인수설'에 클래시스 7%대 강세…장중 최고가 경신,삼성전자 인수설에 미용 의료기기 업체 클래시스의 주가가 장중 사상 최고가를 갈아치웠다. 26일 한국거래소에 따르면 오전 9시 26분 현.. 뉴시스 | 2025-02-26 09:37:26,뉴시스,2025-02-26 09:37:26,https://n.news.naver.com/mnews/article/003/0013088615
창업주 별세 후 급등한 동진쎄미켐…이튿날엔 약세,동진쎄미켐 주가가 26일 장 초반 약세다. 시장이 별세한 창업주 이부섭 회장의 차남 승계가 유력하다는 해석에 무게를 실으면서 전날 올랐.. 한국경제 | 2025-02-26 09:22:14,한국경제,2025-02-26 09:22:14,https://n.news.naver.com/mnews/article/015/0005099360
ETF 급성장 속 펀드매니저 승률 높이려면?… 단순한 목표 설정하라[기고],■ 기고 - 정상진 한국투자신탁운용 주식운용본부장 전 세계적으로 상장지수펀드(ETF) 시장이 급성장하고 있다. 최근 들어서는 유럽마저 .. 문화일보 | 2025-02-26 09:16:17,문화일보,2025-02-26 09:16:17,https://n.news.naver.com/mnews/article/021/0002692801
"""한번 더 믿어보자"" 한두희 한화證 대표 연임한다…임추위 재선임 추천",2년 임기 만료를 앞두고 있는 한두희 한화투자증권(003530) 대표의 연임이 사실상 확정됐다. 부동산 프로젝트 파이낸싱(PF) 충당금.. 뉴스1 | 2025-02-26 09:12:23,뉴스1,2025-02-26 09:12:23,https://n.news.naver.com/mnews/article/421/0008098171
'5兆 대어' 테일러메이드 인수전 막 올랐다...RFP발송 [fn마켓워치],몸 값이 5조원 규모로 추정되는 골프 브랜드 테일러메이드 M&A(인수합병) 막이 올랐다. 테일러메이드의 대주주인 국내 사모펀드(PEF).. 파이낸셜뉴스 | 2025-02-26 09:06:22,파이낸셜뉴스,2025-02-26 09:06:22,https://n.news.naver.com/mnews/article/014/0005313488
"KB證 “양자컴퓨터, 5년 내로 상용화 시작될 것”",KB증권은 26일 양자컴퓨터 시장이 오는 2030년 전후인 향후 5년 내로 상용화가 시작될 것이라는 전망을 내놨다. 최근 IBM과 구글.. 조선비즈 | 2025-02-26 08:53:09,조선비즈,2025-02-26 08:53:09,https://n.news.naver.com/mnews/article/366/0001056742
"iM證 “현대건설, 서울-세종 고속도로 붕괴로 350억 비용 추정”",iM증권은 경기 안성 고속도로 공사장 사고로 현대건설이 최고 2000억원의 비용을 반영할 것이라고 봤다. 현대건설은 해당 고속도로 시공.. 조선비즈 | 2025-02-26 08:52:09,조선비즈,2025-02-26 08:52:09,https://n.news.naver.com/mnews/article/366/0001056741
"‘동학개미’의 귀환…韓주식형 ETF 투자액, 1년 만에 해외 추월 [투자360]","2월 韓주식형 ETF 순자산 2.8조 증가…해외 ETF 2.32배 韓주식형 ETF 순자산 증감액, 작년 2월 이후 처음 해외 넘어서 올.. 헤럴드경제 | 2025-02-26 08:48:15",헤럴드경제,2025-02-26 08:48:15,https://n.news.naver.com/mnews/article/016/0002434185
美 경기둔화 신호 커져도 버티는 코스피…투심 위축 현실화될까 [투자360],소비심리 악화에 美증시 기술주 내리막길…테슬라 8.4% 급락 엔비디아 실적발표 하루 앞두고 변동성 주의보…코스피 거래대금 감소세 25일.. 헤럴드경제 | 2025-02-26 08:44:10,헤럴드경제,2025-02-26 08:44:10,https://n.news.naver.com/mnews/article/016/0002434180
